id	sentence	english	created_at
689	我想把這件舊外套丟掉買新的。	I want to toss this old jacket and buy a new one.	2026-06-29 01:22:45
690	請問高鐵票可以提早幾天買？	How many days early can I buy HSR tickets?	2026-06-29 01:22:45
691	妹妹今年夏天打算去日本看櫻花。	My sister plans to see cherry blossoms in Japan this summer.	2026-06-29 01:22:45
692	他在台北的一家科技公司上班。	He works at a tech company in Taipei.	2026-06-29 01:22:45
693	我今天晚上想吃鹽酥雞當宵夜。	I want salt-and-pepper chicken as a late-night snack.	2026-06-29 01:22:45
694	你最喜歡台灣的哪一個縣市？	Which county/city in Taiwan do you like most?	2026-06-29 01:22:45
695	我去超商領個錢，你等我一下。	I'm withdrawing cash at the store; wait a sec.	2026-06-29 01:22:45
696	這台冷氣好像壞了，完全不涼。	This AC seems broken; it's not cool at all.	2026-06-29 01:22:45
697	老師今天發的講義要記得帶回家。	Remember to take home today's handouts.	2026-06-29 01:22:45
698	我們今天中午吃便當就可以了。	Bento for lunch is fine for us today.	2026-06-29 01:22:45
699	你有沒有這首歌的吉他譜？	Do you have the guitar tabs for this song?	2026-06-29 01:22:45
700	我打算花兩年的時間把英文學好。	I plan to spend two years learning English well.	2026-06-29 01:22:45
701	這裡的垃圾分類比其他地方嚴格。	Trash sorting here is stricter than elsewhere.	2026-06-29 01:22:45
702	星期六早上的市場總是擠滿了人。	Saturday-morning markets are always packed.	2026-06-29 01:22:45
703	如果你想省錢就應該自己煮飯。	If you want to save money, cook for yourself.	2026-06-29 01:22:45
704	他因為感冒所以今天請假沒來。	He took sick leave today with a cold.	2026-06-29 01:22:45
705	捷運悠遊卡裡面好像沒有錢了。	The EasyCard seems to be out of money.	2026-06-29 01:22:45
706	每次去花蓮我都喜歡去看海。	Every trip to Hualien I like to see the ocean.	2026-06-29 01:22:45
707	請問這張桌子可以借我用一下嗎？	May I borrow this table for a moment?	2026-06-29 01:22:45
708	台灣人真的很喜歡排隊買手搖飲。	Taiwanese really love queuing for bubble tea.	2026-06-29 01:22:45
709	我昨天在路邊看到一隻很可愛的貓。	I saw a cute cat on the roadside yesterday.	2026-06-29 01:22:45
710	下次見面的時候我再把書還給你。	I'll return the book next time we meet.	2026-06-29 01:22:45
711	這家牛肉麵店在小巷子裡面。	This beef-noodle shop is in a small alley.	2026-06-29 01:22:45
712	他學中文學了三年，說得很流利。	He's studied Chinese three years and speaks fluently.	2026-06-29 01:22:45
713	你明天去台北的時候順便幫我買飯。	Grab food for me when you're in Taipei tomorrow.	2026-06-29 01:22:45
714	我小時候經常去阿公家抓昆蟲。	As a kid I often caught bugs at grandpa's.	2026-06-29 01:22:45
715	這裡的冬天雖然不下雪但是很濕冷。	Winters here don't snow but are damp and cold.	2026-06-29 01:22:45
716	為了準備考試，他最近都讀到半夜。	He's been studying till midnight to prep for exams.	2026-06-29 01:22:45
717	你可不可以幫我把這封信拿去寄？	Could you mail this letter for me?	2026-06-29 01:22:45
718	雖然這款遊戲很貴但是評價很好。	This game is pricey but well reviewed.	2026-06-29 01:22:45
719	我朋友明天要搬新家，我要去幫忙。	My friend moves tomorrow; I'm helping out.	2026-06-29 01:22:45
720	如果你想吃地道的台菜就去那家店。	For authentic Taiwanese food, go to that shop.	2026-06-29 01:22:45
721	他每天早上的第一件事就是看新聞。	The first thing he does each morning is read the news.	2026-06-29 01:22:45
722	請問這裡開車到桃園機場要多久？	How long to drive from here to Taoyuan Airport?	2026-06-29 01:22:45
723	禮拜天下午的百貨公司到處都是人。	Sunday-afternoon department stores are packed.	2026-06-29 01:22:45
724	我把那本非常有意思的小說看完了。	I finished that very interesting novel.	2026-06-29 01:22:45
725	因為下雨的關係，今天的活動取消。	Today's event is canceled due to rain.	2026-06-29 01:22:45
726	你知道哪裡可以買到好喝的豆漿嗎？	Do you know where to get tasty soy milk?	2026-06-29 01:22:45
727	我姐姐打算明年跟她男朋友結婚。	My sister plans to marry her boyfriend next year.	2026-06-29 01:22:45
728	這家小餐館只有在地人知道在哪。	Only locals know where this little eatery is.	2026-06-29 01:22:45
729	我記得以前這裡有一家很大的書店。	I remember a big bookstore used to be here.	2026-06-29 01:22:45
730	如果你累了就先去客廳沙發躺一下。	If you're tired, go lie on the living-room sofa.	2026-06-29 01:22:45
731	每次心情不好的時候我就想吃甜食。	Whenever I'm down, I crave sweets.	2026-06-29 01:22:45
732	聽說明天全台灣的天氣都會變冷。	I heard all of Taiwan turns cold tomorrow.	2026-06-29 01:22:45
733	我想去買杯拿鐵。	I want to buy a latte.	2026-06-29 01:22:45
734	外面突然下大雨了。	It suddenly started pouring outside.	2026-06-29 01:22:45
735	你的機車停在哪裡？	Where's your scooter parked?	2026-06-29 01:22:45
736	我們去吃宵夜吧！	Let's grab a late-night snack!	2026-06-29 01:22:45
737	這台電腦很好用。	This computer is very handy.	2026-06-29 01:22:45
738	車站前面人非常多。	There are tons of people in front of the station.	2026-06-29 01:22:45
739	請問你要大杯還是中杯？	Large or medium cup?	2026-06-29 01:22:45
740	明天記得要早點起床。	Remember to get up early tomorrow.	2026-06-29 01:22:45
741	他是我的高中同學。	He's my high-school classmate.	2026-06-29 01:22:45
742	我今天打算待在家裡。	I plan to stay home today.	2026-06-29 01:22:45
743	他開車的速度有點快。	He drives a bit fast.	2026-06-29 01:22:45
744	我去便利商店買個點心。	I'm grabbing a snack at the convenience store.	2026-06-29 01:22:45
745	台灣的冬天下雨很麻煩。	Winter rain in Taiwan is a hassle.	2026-06-29 01:22:45
746	這裡的牛肉麵很有名。	The beef noodles here are famous.	2026-06-29 01:22:45
747	你有沒有帶悠遊卡？	Did you bring your EasyCard?	2026-06-29 01:22:45
748	我今天工作真的太忙了。	I was way too busy at work today.	2026-06-29 01:22:45
749	請問洗手間在幾樓？	Which floor is the restroom on?	2026-06-29 01:22:45
750	這家飲料店的茶很好喝。	This drink shop's tea is delicious.	2026-06-29 01:22:45
751	他每天早上去公園跑步。	He runs in the park every morning.	2026-06-29 01:22:45
752	我禮拜五晚上想看電影。	I want to watch a movie Friday night.	2026-06-29 01:22:45
753	這裡可以幫手機充電嗎？	Can I charge my phone here?	2026-06-29 01:22:45
754	我不小心把鑰匙忘在車上。	I accidentally left my keys in the car.	2026-06-29 01:22:45
755	星期六的捷運非常擠。	The MRT is super crowded on Saturdays.	2026-06-29 01:22:45
756	媽媽今天去超市買了很多菜。	Mom bought lots of groceries today.	2026-06-29 01:22:45
757	如果你要去夜市可以找我。	If you're going to the night market, hit me up.	2026-06-29 01:22:45
758	這條巷子走到底就是學校。	Go to the end of this alley to reach the school.	2026-06-29 01:22:45
759	請問高鐵票要去哪裡拿？	Where do I pick up HSR tickets?	2026-06-29 01:22:45
760	我最喜歡跟家人一起去海邊。	I love going to the beach with family most.	2026-06-29 01:22:45
761	這款相機的拍照效果很好。	This camera takes great photos.	2026-06-29 01:22:45
762	姊姊下星期要從美國回來。	My sister returns from the US next week.	2026-06-29 01:22:45
763	有空的話幫我倒一下垃圾。	If free, take out the trash for me.	2026-06-29 01:22:45
764	他每天晚上都讀書到十一點。	He studies until 11 every night.	2026-06-29 01:22:45
765	你知道這部電影在演什麼嗎？	Do you know what this movie's about?	2026-06-29 01:22:45
766	我打算明天下午去銀行辦事。	I plan to run errands at the bank tomorrow afternoon.	2026-06-29 01:22:45
767	昨晚風太大把雨傘吹壞了。	Last night's wind broke the umbrella.	2026-06-29 01:22:45
768	請問從這裡走路去夜市要多久？	How long to walk to the night market from here?	2026-06-29 01:22:45
769	台灣的小吃種類真的非常多。	Taiwan has a huge variety of snacks.	2026-06-29 01:22:45
770	哥哥上個月換了一支新手機。	My brother switched to a new phone last month.	2026-06-29 01:22:45
771	你今天中午想要吃便當嗎？	Want a bento for lunch today?	2026-06-29 01:22:45
772	我在火車站門口等了你很久。	I waited a long time at the train station entrance.	2026-06-29 01:22:45
773	他雖然感冒了但是還是去上班。	He went to work despite a cold.	2026-06-29 01:22:45
774	如果今天下大雨活動就取消。	If it pours today, the event is canceled.	2026-06-29 01:22:45
775	這本小說很有意思，借你看。	This novel's interesting; I'll lend it to you.	2026-06-29 01:22:45
776	我家貓咪每到早上就會一直叫。	My cat meows nonstop every morning.	2026-06-29 01:22:45
777	可以幫我把這張桌子擦一下嗎？	Could you wipe this table for me?	2026-06-29 01:22:45
778	這家傳統豆漿店的蛋餅好吃。	This soy-milk shop's egg crepe is tasty.	2026-06-29 01:22:45
779	我今天跟同事一起去吃日本料理。	I had Japanese food with colleagues today.	2026-06-29 01:22:45
780	如果你有不懂的地方可以問我。	Ask me about anything you don't get.	2026-06-29 01:22:45
781	他每天下班都要去接小孩回家。	He picks the kids up after work every day.	2026-06-29 01:22:45
782	捷運上是完全不能吃東西的。	Eating is totally banned on the MRT.	2026-06-29 01:22:45
783	昨天的籃球比賽真的非常好看。	Yesterday's basketball game was great.	2026-06-29 01:22:45
784	我想把這件舊外套拿去回收。	I want to recycle this old jacket.	2026-06-29 01:22:45
785	請問這張高鐵票要怎麼退？	How do I refund this HSR ticket?	2026-06-29 01:22:45
786	妹妹今年夏天打算去日本旅遊。	My sister plans to travel to Japan this summer.	2026-06-29 01:22:45
787	他在內湖的一家科技公司上班。	He works at a tech company in Neihu.	2026-06-29 01:22:45
788	我今天晚上想吃鹽酥雞配綠茶。	Tonight I want popcorn chicken with green tea.	2026-06-29 01:22:45
789	你最喜歡去台灣的哪裡玩？	Where in Taiwan do you most like to go?	2026-06-29 01:22:45
790	我去超商領個包裹，等我一下。	I'm grabbing a package at the store; wait a sec.	2026-06-29 01:22:45
791	這台冷氣壞了，吹出來都不涼。	This AC is broken; the air isn't cool.	2026-06-29 01:22:45
792	老師今天發的作業要記得寫。	Remember to do today's homework.	2026-06-29 01:22:45
793	我們今天中午簡單吃個麵就好。	Let's just have simple noodles for lunch.	2026-06-29 01:22:45
794	你有沒有這首鋼琴曲的譜？	Do you have this piano piece's sheet music?	2026-06-29 01:22:45
795	我打算花一年的時間學開車。	I plan to spend a year learning to drive.	2026-06-29 01:22:45
796	這裡的垃圾分類做得非常嚴格。	Trash sorting here is very strict.	2026-06-29 01:22:45
797	禮拜六早上的傳統市場很熱鬧。	The Saturday-morning market is lively.	2026-06-29 01:22:45
798	如果你想省錢就應該自己做飯。	To save money, cook for yourself.	2026-06-29 01:22:45
799	他因為身體不舒服所以請假。	He took leave because he felt unwell.	2026-06-29 01:22:45
800	我的悠遊卡裡面好像沒錢了。	My EasyCard seems out of money.	2026-06-29 01:22:45
801	每次去台東我都喜歡去看海。	Every trip to Taitung I like to see the sea.	2026-06-29 01:22:45
802	請問這張椅子可以借我坐嗎？	May I borrow this chair to sit?	2026-06-29 01:22:45
803	台灣人真的很喜歡排隊買飯。	Taiwanese really love queuing for food.	2026-06-29 01:22:45
804	我昨天在路邊看到一隻流浪狗。	I saw a stray dog on the roadside yesterday.	2026-06-29 01:22:45
805	下次見面的時候我再把錢還你。	I'll pay you back next time we meet.	2026-06-29 01:22:45
806	這家小吃店隱藏在小巷子裡面。	This snack shop is hidden in an alley.	2026-06-29 01:22:45
807	他學中文學了兩年，說得很好。	He's studied Chinese two years and speaks well.	2026-06-29 01:22:45
808	你明天去台北順便幫我買飲料。	Grab me a drink when in Taipei tomorrow.	2026-06-29 01:22:45
809	我小時候經常去阿公家的果園。	As a kid I often visited grandpa's orchard.	2026-06-29 01:22:45
810	這裡的冬天雖然冷但是不下雪。	Winters here are cold but snowless.	2026-06-29 01:22:45
811	為了準備考試他最近常熬夜。	He's been pulling late nights to prep for exams.	2026-06-29 01:22:45
812	你可不可以幫我把這封信寄掉？	Could you mail this letter off for me?	2026-06-29 01:22:45
813	雖然這款遊戲很貴但很好玩。	This game's pricey but really fun.	2026-06-29 01:22:45
814	我朋友明天要搬家，我要幫忙。	My friend moves tomorrow; I'm helping.	2026-06-29 01:22:45
815	如果你想吃地道小吃就去那裡。	For authentic snacks, go there.	2026-06-29 01:22:45
816	他每天早上的第一件事是喝水。	The first thing he does each morning is drink water.	2026-06-29 01:22:45
817	請問這裡開車到松山機場要多久？	How long to drive to Songshan Airport from here?	2026-06-29 01:22:45
818	禮拜天下午的夜市到處都是人。	Sunday-afternoon night markets are packed.	2026-06-29 01:22:45
819	我把那本很有意思的書看完了。	I finished that very interesting book.	2026-06-29 01:22:45
820	因為下雨的關係活動改到室內。	Due to rain, the event moved indoors.	2026-06-29 01:22:45
821	你知道哪裡可以買到好喝的紅茶？	Where can I get tasty black tea?	2026-06-29 01:22:45
822	我哥哥打算明年跟女朋友結婚。	My brother plans to marry his girlfriend next year.	2026-06-29 01:22:45
823	這家小餐館的座位真的很少。	This little eatery has very few seats.	2026-06-29 01:22:45
824	我記得以前這裡有一家大書店。	I recall a big bookstore used to be here.	2026-06-29 01:22:45
825	如果你累了就先去客廳沙發睡。	If tired, go sleep on the living-room sofa.	2026-06-29 01:22:45
826	每次心情不好的時候我就想跑步。	Whenever I'm down, I want to go running.	2026-06-29 01:22:45
827	聽說明天北台灣的天氣會變冷。	Northern Taiwan turns cold tomorrow, I hear.	2026-06-29 01:22:45
828	雖然這款新遊戲很好玩但很貴。	This new game is fun but pricey.	2026-06-29 01:22:45
829	如果你想在台北租房需要花時間。	Renting in Taipei takes time.	2026-06-29 01:22:45
830	每次我心情不好就想去吃火鍋。	Whenever I'm down, I want hot pot.	2026-06-29 01:22:45
831	昨天電視上放的那齣國片很好看。	The domestic movie shown on TV yesterday was really good to watch.	2026-06-29 01:22:45
832	我對於台灣的歷史很有興趣。	I am very interested in Taiwan's history.	2026-06-29 01:22:45
833	妹妹上個禮拜去把頭髮剪短了。	Little sister went to get her hair cut short last week.	2026-06-29 01:22:45
834	每天吃完晚飯後，我都會去散步。	I go for a walk every day after finishing dinner.	2026-06-29 01:22:45
835	聽說這部宮廷劇的皇后很有演技。	I heard the empress in this palace drama has great acting skills.	2026-06-29 01:22:45
836	搬新家需要買一些客廳用的傢俱。	Moving into a new home requires buying some furniture for the living room.	2026-06-29 01:22:45
837	他學繁體中文學了三年才成功。	He studied Traditional Chinese for three years before succeeding.	2026-06-29 01:22:45
838	如果你沒辦法來，記得提早打給我。	If you have no way of coming, remember to call me early.	2026-06-29 01:22:45
839	請幫我把這箱水果搬進去廚房。	Please help me move this box of fruit into the kitchen.	2026-06-29 01:22:45
840	這家餐廳的主廚做台菜非常有名。	This restaurant's head chef is very famous for Taiwanese dishes.	2026-06-29 01:22:45
841	其實那家手搖飲的珍奶並不好喝。	Actually, that bubble tea shop's pearl milk tea isn't that good.	2026-06-29 01:22:45
842	如果無聊的話，我們可以去逛夜市。	If you are bored, we can go visit the night market.	2026-06-29 01:22:45
843	運動完之後，我覺得身體沒什麼力氣。	After exercising, I feel like my body has no energy left.	2026-06-29 01:22:45
844	這隻流浪貓很乖，大家都想餵它。	This stray cat is very well-behaved; everyone wants to feed it.	2026-06-29 01:22:45
845	台灣的民眾真的很熱情也很願意幫忙。	Taiwanese citizens are truly very warm-hearted and willing to help.	2026-06-29 01:22:45
846	這款新出的手機軟體使用起來很方便。	This newly released mobile app is very convenient to use.	2026-06-29 01:22:45
847	垃圾車快來了，趕快將垃圾拿出去。	The trash truck is coming soon; hurry up and take the trash out.	2026-06-29 01:22:45
848	這次出國旅遊的行程全部由我負責。	This trip's itinerary is entirely my responsibility.	2026-06-29 01:22:45
849	請幫我把這兩個包裹合併在一起寄。	Please help me combine these two packages to mail together.	2026-06-29 01:22:45
850	這家店雖然很有名，但其實並不好吃。	Although this shop is very famous, it actually isn't tasty.	2026-06-29 01:22:45
851	昨天的棒球大戰真的非常精彩。	Yesterday's baseball showdown was truly exceptionally exciting.	2026-06-29 01:22:45
852	捷運站的三號出口要往哪一個方向走？	Which direction do I walk for Exit 3 of the MRT station?	2026-06-29 01:22:45
853	他很嚮往去日本過著悠閒的生活。	He longs to go to Japan to live a leisurely life.	2026-06-29 01:22:45
854	台北下大雨的時候，街頭到處都在塞車。	When it rains heavily in Taipei, the streets are jammed everywhere.	2026-06-29 01:22:45
855	這裡的政府機構星期六都是不開門的。	The government offices here are all closed on Saturdays.	2026-06-29 01:22:45
856	昨晚風太大，我陽台的衣服被吹走了。	The wind was too strong last night; my balcony clothes were blown away.	2026-06-29 01:22:45
857	台灣中南部生產的水果都非常甜。	The fruit produced in central and southern Taiwan is very sweet.	2026-06-29 01:22:45
858	你今天中午想吃排骨便當或牛肉麵？	Do you want a pork chop bento or beef noodles for lunch today?	2026-06-29 01:22:45
859	我們公司上班時不需要穿著制服。	Our company doesn't require wearing uniforms at work.	2026-06-29 01:22:45
860	這杯綠茶用的是台灣在地製作的茶葉。	This green tea uses tea leaves produced locally in Taiwan.	2026-06-29 01:22:45
861	這家手搖飲料店的珍珠口味很特別。	This bubble tea shop's pearl flavor is very special.	2026-06-29 01:22:45
862	這支手機是去年才剛上市的新一代。	This phone is a new generation that just launched last year.	2026-06-29 01:22:45
863	哥哥生日那天，爸爸送了他一支手錶。	On older brother's birthday, dad gave him a wristwatch.	2026-06-29 01:22:45
864	他的中文說得很好，表達能力很強。	He speaks Chinese very well; his expression is strong.	2026-06-29 01:22:45
865	台北這幾年的變化真的非常大。	The changes in Taipei over these past few years are truly huge.	2026-06-29 01:22:45
866	只要有任何不懂的問題，隨時可以問我。	If there are any questions you don't understand, ask me anytime.	2026-06-29 01:22:45
867	爸爸開車去幼兒園接妹妹放學。	Dad drives to the kindergarten to pick up little sister.	2026-06-29 01:22:45
868	我本來原諒了他，但他又忘記帶鑰匙。	I had forgiven him, but he forgot his keys again.	2026-06-29 01:22:45
869	隔壁班的那個男同學講話聲音很大。	That boy in the class next door talks very loudly.	2026-06-29 01:22:45
870	我明天要去台北。	I am going to Taipei tomorrow.	2026-06-29 01:22:45
871	請問這班公車去內湖嗎？	Excuse me, does this bus go to Neihu?	2026-06-29 01:22:45
872	你的手機快要沒電了。	Your phone is running out of battery.	2026-06-29 01:22:45
873	我們約在捷運站一號出口。	Let's meet at MRT Station Exit 1.	2026-06-29 01:22:45
874	他今天看起來沒精神。	He looks listless today.	2026-06-29 01:22:45
875	這個蛋糕不會太甜。	This cake is not too sweet.	2026-06-29 01:22:45
876	請大家排隊上車。	Please line up to get on the bus.	2026-06-29 01:22:45
877	捷運車廂內不能吃東西。	You cannot eat inside the MRT carriages.	2026-06-29 01:22:45
878	我想買一杯冰美式咖啡。	I want to buy a cup of iced Americano.	2026-06-29 01:22:45
879	這件白襯衫很好看。	This white shirt looks great.	2026-06-29 01:22:45
880	請跟著下面的指標走。	Please follow the indicators below to walk.	2026-06-29 01:22:45
881	我們公司的人都很熱情。	The people in our company are very warm-hearted.	2026-06-29 01:22:45
882	坐高鐵去高雄要多久？	How long does it take to go to Kaohsiung by HSR?	2026-06-29 01:22:45
883	我在便利商店買了午餐。	I bought lunch at the convenience store.	2026-06-29 01:22:45
884	你要大杯還是小杯的綠茶？	Do you want a large or small cup of green tea?	2026-06-29 01:22:45
885	他每天晚上都九點才回家。	He doesn't go home until 9 PM every night.	2026-06-29 01:22:45
886	請問這個便當多少錢？	Excuse me, how much is this bento?	2026-06-29 01:22:45
887	台灣的夏天真的太熱了。	Summer in Taiwan is really too hot.	2026-06-29 01:22:45
888	我想去逛逛那個夜市。	I want to visit that night market.	2026-06-29 01:22:45
889	今天的網速有點慢。	The internet speed today is a bit slow.	2026-06-29 01:22:45
890	坐計程車去機場要花多少錢？	How much does it cost to take a taxi to the airport?	2026-06-29 01:22:45
891	妹妹下個月要搬新家。	Little sister is moving to a new home next month.	2026-06-29 01:22:45
892	醫生說要多喝水多休息。	The doctor said to drink more water and rest more.	2026-06-29 01:22:45
893	請問洗手間在哪裡？	Excuse me, where is the restroom?	2026-06-29 01:22:45
894	媽媽今天做了一桌好菜。	Mom made a table of great dishes today.	2026-06-29 01:22:45
895	捷運列車即將進站。	The MRT train is about to enter the station.	2026-06-29 01:22:45
896	這家熱炒店的菜很道地。	The dishes at this stir-fry restaurant are very authentic.	2026-06-29 01:22:45
897	我們一起討論這個專案吧。	Let's discuss this project together.	2026-06-29 01:22:45
898	請問您有悠遊卡嗎？	Excuse me, do you have an EasyCard?	2026-06-29 01:22:45
899	明天學校有一個很棒的演講。	There is a very great lecture at school tomorrow.	2026-06-29 01:22:45
900	這家便利商店的店員很客氣。	The clerk at this convenience store is very polite.	2026-06-29 01:22:45
901	我不認識那個在門口的人。	I don't know that person at the door.	2026-06-29 01:22:45
902	請把垃圾拿到下面分類。	Please take the trash down to sort it.	2026-06-29 01:22:45
903	今天是個適合爬山的好天氣。	Today is a good weather day suitable for hiking.	2026-06-29 01:22:45
904	我們公司打算開一個新小組。	Our company plans to open a new team.	2026-06-29 01:22:45
905	捷運站就位於這兩個路口。	The MRT station is located right at these two intersections.	2026-06-29 01:22:45
906	這支新出的手機要三萬多塊。	This newly released phone costs over thirty thousand dollars.	2026-06-29 01:22:45
907	希望明天不會下大雨。	I hope it won't rain heavily tomorrow.	2026-06-29 01:22:45
908	這杯珍奶的冰塊和糖量可以調整。	The ice and sugar level of this bubble tea can be adjusted.	2026-06-29 01:22:45
909	姐姐明天下午四點放學。	Older sister finishes school at 4 PM tomorrow afternoon.	2026-06-29 01:22:45
910	我需要買一個新的筆電包。	I need to buy a new laptop bag.	2026-06-29 01:22:45
911	進大樓請出示員工識別證。	Please show your employee ID badge when entering the building.	2026-06-29 01:22:45
912	走在馬路上要注意安全。	Pay attention to safety when walking on the street.	2026-06-29 01:22:45
913	哥哥在大學是唸資訊工程的。	Older brother studies IT engineering at university.	2026-06-29 01:22:45
914	衣服洗好了，快去曬吧。	The clothes are washed, go hang them up quickly.	2026-06-29 01:22:45
915	你今天穿的衣服很好看。	The clothes you are wearing today look great.	2026-06-29 01:22:45
916	我不小心把鑰匙遺失在公車上。	I accidentally lost my keys on the bus.	2026-06-29 01:22:45
917	請在公車亭的站牌前排隊站立。	Please stand in line in front of the bus stop sign.	2026-06-29 01:22:45
918	他是我在大學認識的朋友。	He is a friend I met at university.	2026-06-29 01:22:45
919	這家小餐館的口味很特別。	This small restaurant's flavor is very special.	2026-06-29 01:22:45
920	您好，這是您的外送包裹。	Hello, this is your delivery package.	2026-06-29 01:22:45
921	我打算九月去日本旅遊一星期。	I plan to travel to Japan for a week in September.	2026-06-29 01:22:45
922	悠遊卡的加值金可用來坐公車。	The topped-up money on the EasyCard can be used to take the bus.	2026-06-29 01:22:45
923	請問這附近有影印店嗎？	Excuse me, is there a photocopy shop nearby?	2026-06-29 01:22:45
924	他們兩個人一共點了三碗麵。	The two of them ordered a total of three bowls of noodles.	2026-06-29 01:22:45
925	我忘記把收據交給會計了。	I forgot to give the receipt to the accountant.	2026-06-29 01:22:45
926	台北最近的氣候比較濕冷。	Taipei's climate lately is relatively damp and cold.	2026-06-29 01:22:45
